onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id
0;0.166666666666667;3;3;1;1;1;0.5;3/4;72;1;1;1
0.166666666666667;0.166666666666667;3;3;1;1;2;0.5;3/4;72;1;0;1
0.333333333333333;0.166666666666667;3;3;1;1;3;0.5;3/4;72;1;0;1
0.5;0.5;3;1;1;2;1;0.5;3/4;72;1;0;1
1;0.375;3;4;1;3;1;0.5;3/4;72;1;0;1
1.375;0.125;3;4;1;3;4;0.5;3/4;72;1;0;1
1.5;0.375;3;4;2;1;1;0.5;3/4;72;1;0;1
1.875;0.125;3;4;2;1;4;0.5;3/4;72;1;0;1
2;0.5;3;1;2;2;1;0.5;3/4;72;1;0;1
2.5;0.5;3;1;2;3;1;0.5;3/4;72;1;0;1
